Index,STNAME,CTYNAME,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,"Less than a high school diploma, 2009-2013","High school diploma only, 2009-2013","Some college or associate's degree, 2009-2013","Bachelor's degree or higher, 2009-2013","Percent of adults with less than a high school diploma, 2009-2013","Percent of adults with a high school diploma only, 2009-2013","Percent of adults completing some college or associate's degree, 2009-2013","Percent of adults with a bachelor's degree or higher, 2009-2013",Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Median_Household_Income_2013
Alabama-Autauga County,Alabama,Autauga County,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,143","12,211","10,870","7,472",14,34,30,21,"25,759","24,138","1,621",6,"25,429","23,933","1,496",6,"51,868"
Alabama-Baldwin County,Alabama,Baldwin County,1,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0,3,"14,209","37,927","41,840","36,087",11,29,32,28,"85,093","79,414","5,679",7,"85,815","80,620","5,195",6,"47,539"
Alabama-Barbour County,Alabama,Barbour County,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"5,002","6,245","5,196","2,545",26,33,27,13,"9,087","8,146",941,10,"8,798","7,847",951,11,"30,981"
Alabama-Bibb County,Alabama,Bibb County,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"3,459","6,256","3,774","1,851",23,41,25,12,"8,675","7,995",680,8,"8,560","7,949",611,7,"39,781"
Alabama-Blount County,Alabama,Blount County,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"8,937","13,463","11,749","4,697",23,35,30,12,"24,839","23,263","1,576",6,"24,614","23,101","1,513",6,"44,392"
Alabama-Bullock County,Alabama,Bullock County,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,421","2,548","1,603",938,32,34,21,12,"4,780","4,319",461,10,"4,679","4,254",425,9,"25,937"
Alabama-Butler County,Alabama,Butler County,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"3,337","5,212","3,560","1,971",24,37,25,14,"9,134","8,183",951,10,"9,253","8,460",793,9,"31,041"
Alabama-Calhoun County,Alabama,Calhoun County,1,15,0,0,0,0,0,0,0,1,0,0,0,2,1,3,2,"16,800","25,866","23,253","12,626",21,33,30,16,"48,189","44,043","4,146",9,"46,924","43,208","3,716",8,"37,898"
Alabama-Chambers County,Alabama,Chambers County,1,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"5,905","8,525","6,522","2,804",25,36,27,12,"15,235","14,020","1,215",8,"15,190","14,165","1,025",7,"33,883"
Alabama-Cherokee County,Alabama,Cherokee County,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,068","6,508","5,789","2,412",22,35,31,13,"11,371","10,621",750,7,"11,299","10,638",661,6,"37,478"
Alabama-Chilton County,Alabama,Chilton County,1,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"7,047","11,751","6,718","3,786",24,40,23,13,"19,318","18,041","1,277",7,"19,121","17,920","1,201",6,"41,348"
Alabama-Choctaw County,Alabama,Choctaw County,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,381","3,580","2,510","1,132",25,37,26,12,"4,691","4,258",433,9,"4,479","4,073",406,9,"33,581"
Alabama-Clarke County,Alabama,Clarke County,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,746","7,249","4,317","1,927",22,42,25,11,"8,283","7,126","1,157",14,"8,101","7,091","1,010",13,"34,593"
Alabama-Clay County,Alabama,Clay County,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,262","3,621","2,861",887,23,38,30,9,"5,384","4,930",454,8,"5,446","5,053",393,7,"33,344"
Alabama-Cleburne County,Alabama,Cleburne County,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2,448","4,013","2,832",922,24,39,28,9,"5,815","5,369",446,8,"5,764","5,377",387,7,"40,407"
Alabama-Coffee County,Alabama,Coffee County,1,31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"6,002","10,041","10,311","7,663",18,30,30,23,"20,478","19,053","1,425",7,"20,213","18,862","1,351",7,"44,666"
Alabama-Colbert County,Alabama,Colbert County,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,269","13,099","11,819","6,706",17,35,31,18,"23,798","21,878","1,920",8,"24,016","22,045","1,971",8,"40,032"
Alabama-Conecuh County,Alabama,Conecuh County,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,035","3,905","2,233",786,23,44,25,9,"4,691","4,180",511,11,"4,629","4,132",497,11,"27,196"
Alabama-Coosa County,Alabama,Coosa County,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2,031","3,472","1,836",797,25,43,23,10,"4,433","4,033",400,9,"4,400","4,011",389,9,"35,175"
Alabama-Covington County,Alabama,Covington County,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,689","9,007","7,869","3,727",22,34,30,14,"16,019","14,728","1,291",8,"15,771","14,547","1,224",8,"35,187"
Alabama-Crenshaw County,Alabama,Crenshaw County,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,219","3,619","2,491","1,207",23,38,26,13,"6,287","5,813",474,8,"6,244","5,810",434,7,"34,105"
Alabama-Cullman County,Alabama,Cullman County,1,43,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"11,166","17,467","18,382","8,136",20,32,33,15,"35,684","33,313","2,371",7,"35,477","33,314","2,163",6,"40,142"
Alabama-Dale County,Alabama,Dale County,1,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"5,254","10,189","12,062","5,622",16,31,36,17,"20,720","19,168","1,552",8,"20,397","18,938","1,459",7,"41,805"
Alabama-Dallas County,Alabama,Dallas County,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,252","9,962","7,678","3,955",22,36,28,14,"16,284","14,262","2,022",12,"15,747","13,926","1,821",12,"27,524"
Alabama-DeKalb County,Alabama,DeKalb County,1,49,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,"13,818","16,429","11,716","5,033",29,35,25,11,"28,955","26,752","2,203",8,"28,655","26,666","1,989",7,"36,713"
Alabama-Elmore County,Alabama,Elmore County,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"7,204","18,277","16,816","11,274",13,34,31,21,"36,856","34,561","2,295",6,"36,381","34,281","2,100",6,"51,650"
Alabama-Escambia County,Alabama,Escambia County,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,235","9,561","7,347","3,059",24,36,28,12,"14,258","13,029","1,229",9,"14,194","13,027","1,167",8,"33,455"
Alabama-Etowah County,Alabama,Etowah County,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,026","23,385","24,519","10,547",18,33,34,15,"43,728","40,429","3,299",8,"43,578","40,515","3,063",7,"38,587"
Alabama-Fayette County,Alabama,Fayette County,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,009","4,677","2,712","1,576",25,39,23,13,"6,387","5,859",528,8,"6,281","5,785",496,8,"35,661"
Alabama-Franklin County,Alabama,Franklin County,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,783","6,982","5,968","2,325",27,33,28,11,"13,651","12,545","1,106",8,"13,641","12,578","1,063",8,"33,332"
Alabama-Geneva County,Alabama,Geneva County,1,61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"4,286","7,173","5,373","1,947",23,38,29,10,"11,020","10,249",771,7,"10,783","10,056",727,7,"35,378"
Alabama-Greene County,Alabama,Greene County,1,63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1,432","2,367","1,446",770,24,39,24,13,"2,996","2,607",389,13,"3,000","2,621",379,13,"25,864"
Alabama-Hale County,Alabama,Hale County,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2,376","4,319","2,458","1,339",23,41,23,13,"6,198","5,472",726,12,"6,142","5,540",602,10,"33,597"
Alabama-Henry County,Alabama,Henry County,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,415","4,269","3,460","2,018",20,35,28,17,"6,935","6,403",532,8,"6,799","6,293",506,7,"41,590"
Alabama-Houston County,Alabama,Houston County,1,69,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"11,117","23,442","20,879","13,559",16,34,30,20,"45,624","42,438","3,186",7,"44,834","41,781","3,053",7,"39,636"
Alabama-Jackson County,Alabama,Jackson County,1,71,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,"9,418","13,831","9,023","4,839",25,37,24,13,"23,588","21,762","1,826",8,"23,306","21,626","1,680",7,"37,204"
Alabama-Jefferson County,Alabama,Jefferson County,1,73,1,4,2,3,2,0,2,2,0,0,0,0,3,0,4,"55,574","117,235","136,167","132,512",13,27,31,30,"314,709","293,633","21,076",7,"311,833","292,161","19,672",6,"45,024"
Alabama-Lamar County,Alabama,Lamar County,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"2,434","3,877","2,883",970,24,38,28,10,"5,790","5,379",411,7,"5,547","5,151",396,7,"36,475"
Alabama-Lauderdale County,Alabama,Lauderdale County,1,77,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,"10,159","21,510","17,804","13,248",16,34,28,21,"43,048","39,975","3,073",7,"43,367","40,253","3,114",7,"43,586"
Alabama-Lawrence County,Alabama,Lawrence County,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,326","9,063","6,127","2,783",23,39,26,12,"14,234","13,058","1,176",8,"13,988","12,835","1,153",8,"40,713"
Alabama-Lee County,Alabama,Lee County,1,81,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,"11,017","21,920","23,053","26,980",13,26,28,33,"70,396","66,201","4,195",6,"70,960","66,991","3,969",6,"44,647"
Alabama-Limestone County,Alabama,Limestone County,1,83,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,"10,763","17,983","16,280","13,218",18,31,28,23,"39,358","36,869","2,489",6,"39,016","36,635","2,381",6,"50,148"
Alabama-Lowndes County,Alabama,Lowndes County,1,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"1,927","2,713","1,674","1,062",26,37,23,14,"4,008","3,434",574,14,"3,906","3,402",504,13,"29,734"
Alabama-Macon County,Alabama,Macon County,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,546","3,842","3,842","2,489",20,30,30,20,"8,397","7,583",814,10,"8,211","7,461",750,9,"29,228"
Alabama-Madison County,Alabama,Madison County,1,89,0,1,3,3,0,3,4,0,2,1,0,3,5,3,5,"22,463","48,291","68,121","86,821",10,21,30,38,"171,050","160,117","10,933",6,"169,656","159,203","10,453",6,"58,258"
Alabama-Marengo County,Alabama,Marengo County,1,91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"2,276","5,578","3,686","2,434",16,40,26,17,"7,612","6,936",676,9,"7,597","6,986",611,8,"33,749"
Alabama-Marion County,Alabama,Marion County,1,93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"5,527","7,733","6,432","2,059",25,36,30,9,"12,463","11,468",995,8,"12,160","11,181",979,8,"34,162"
