Massachusetts-Barnstable County,Massachusetts,Barnstable County,25,1,154,135,165,183,192,226,104,214,173,246,165,183,297,271,246,1162,0.01162,232.4,,221151,215918,215398,214947,214990,1082404,9036,0.008348084,40985,0.03786479,49969,0.046164833,64240,0.059349374,164230,6,25,30,39,110478,101590,8888,8,111763,103930,7833,7,56991,54871,56167,58616,60685,57466
Massachusetts-Berkshire County,Massachusetts,Berkshire County,25,3,51,50,69,82,84,66,49,83,162,172,132,113,90,127,84,634,0.00634,126.8,,129288,131257,130501,130120,129585,650751,8765,0.013469053,30707,0.047187019,25395,0.039024143,28254,0.043417528,93121,9,33,27,30,65953,61107,4846,7,66116,61826,4290,7,44061,44792,43813,46660,51431,46151.4
Massachusetts-Bristol County,Massachusetts,Bristol County,25,5,74,121,139,99,114,147,117,208,300,314,194,151,523,555,628,1737,0.01737,347.4,,547433,549129,549259,550856,552780,2749457,67968,0.024720518,113621,0.041324887,99634,0.036237701,94999,0.034551913,376222,18,30,26,25,286245,261284,24961,9,288918,267712,21206,7,54048,51361,53307,53670,53626,53202.4
Massachusetts-Dukes County,Massachusetts,Dukes County,25,7,39,34,38,60,52,91,21,51,51,45,30,31,84,71,47,261,0.00261,52.2,,15974,16553,16679,16834,17256,83296,825,0.009904437,2781,0.033386957,3831,0.045992605,5107,0.061311468,12544,7,22,31,41,9364,8524,840,9,9412,8674,738,8,57076,56320,58133,56784,58276,57317.8
Massachusetts-Essex County,Massachusetts,Essex County,25,9,204,152,236,188,164,259,133,305,442,394,234,215,511,527,459,1881,0.01881,376.2,,742582,745430,751003,755970,762550,3757535,56138,0.014940114,135668,0.036105585,132774,0.035335399,187621,0.049931937,512201,11,26,26,37,398283,370470,27813,7,403201,379137,24064,6,62758,61604,64303,67408,67235,64661.6
Massachusetts-Franklin County,Massachusetts,Franklin County,25,11,9,9,9,13,15,23,6,24,56,69,54,46,67,67,74,303,0.00303,60.6,,71778,71298,71595,71535,71221,357427,4131,0.011557605,14547,0.04069922,15502,0.043371094,17591,0.049215644,51771,8,28,30,34,39233,36853,2380,6,39558,37477,2081,5,48993,49361,49940,54159,51828,50856.2
Massachusetts-Hampden County,Massachusetts,Hampden County,25,13,72,73,143,112,85,118,86,120,190,250,161,108,172,208,167,899,0.00899,179.8,,471081,464005,465622,465997,467319,2334024,50021,0.021431228,96068,0.041159817,85403,0.036590455,75206,0.032221605,306698,16,31,28,25,220410,200376,20034,9,222549,205148,17401,8,46646,46356,47313,48386,48560,47452.2
Massachusetts-Hampshire County,Massachusetts,Hampshire County,25,15,34,31,58,39,42,68,28,63,114,147,93,75,124,143,133,582,0.00582,116.4,,156044,159195,159844,159791,159596,794470,6563,0.008260853,24949,0.031403325,24736,0.031135222,41167,0.051816935,97415,7,26,25,42,85041,80093,4948,6,86287,81945,4342,5,56263,57558,54548,58206,61911,57697.2
Massachusetts-Middlesex County,Massachusetts,Middlesex County,25,17,129,149,261,263,246,440,286,587,851,817,514,373,787,936,1023,3427,0.03427,685.4,,1505006,1506448,1521500,1537149,1552802,7622905,83226,0.010917885,228192,0.029935044,208746,0.027384048,535916,0.070303382,1056080,8,22,20,51,837713,791935,45778,6,851640,812047,39593,5,77672,75364,76803,81924,82118,78776.2
Massachusetts-Nantucket County,Massachusetts,Nantucket County,25,19,39,43,54,37,50,29,11,61,44,46,32,46,67,59,57,250,0.0025,50,,11322,10146,10107,10241,10399,52215,448,0.00857991,1737,0.033266303,1983,0.037977593,3274,0.062702289,7442,6,23,27,44,6559,6088,471,7,6846,6423,423,6,68746,67969,68431,70286,71259,69338.2
Massachusetts-Norfolk County,Massachusetts,Norfolk County,25,21,80,90,173,151,139,251,176,333,494,549,301,194,554,573,648,2171,0.02171,434.2,,666303,672677,677622,682078,687802,3386482,29515,0.008715534,101754,0.030047111,107340,0.03169661,231168,0.06826199,469777,6,22,23,49,361325,340316,21009,6,367341,348995,18346,5,79548,79899,81590,80192,83830,81011.8
Massachusetts-Plymouth County,Massachusetts,Plymouth County,25,23,152,163,214,152,181,323,133,324,452,461,275,269,691,825,789,2521,0.02521,504.2,,498344,495844,498039,498393,501915,2492535,26916,0.010798645,101052,0.040541858,97229,0.039008078,113692,0.045613,338889,8,30,29,34,262922,244434,18488,7,266550,250467,16083,6,70447,71555,67989,72795,75264,71610
Massachusetts-Suffolk County,Massachusetts,Suffolk County,25,25,25,16,28,13,24,44,18,35,81,88,45,79,121,126,137,459,0.00459,91.8,,753580,725140,735607,746039,755503,3715869,77782,0.020932385,117539,0.031631632,93541,0.025173385,195430,0.05259335,484292,16,24,19,40,405359,379957,25402,6,411889,389822,22067,5,53751,49584,49033,50884,54164,51483.2
Massachusetts-Worcester County,Massachusetts,Worcester County,25,27,89,98,204,138,144,233,236,341,585,555,322,177,450,578,604,2082,0.02082,416.4,,803701,800223,803509,805353,809106,4021892,57376,0.014265923,154138,0.038324749,145861,0.036266762,182657,0.04541569,540032,11,29,27,34,419663,388976,30687,7,425404,399062,26342,6,62885,61079,60396,62318,62268,61789.2
